objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"That Time You Killed Me","344258","0","0","0","1","0","0","0","0","0","0","0","3","","2 players
15 - 30 min","","","","139486886","6.44543","7.3343","2.3333","1465","5505","thing","That Time You Killed Me","2","2","30","30","15","2021","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"That's Mine!","451065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146488736","0","5.97778","1","0","52","thing","That's Mine!","2","5","10","10","10","2025","3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Thief's Market","428589","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 5 players
30 - 60 minutes
C-B-5","","","","147554844","5.59144","7.43846","2","9939","442","thing","Thief's Market","3","5","60","60","30","2025","3,4,5","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Things in Rings","408547","7.5","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 player
20 min
C-B-3

More enjoyable with larger player count","","","","137352556","6.45896","7.07311","1.3548","1432","7809","thing","Things in Rings","2","6","20","20","20","2024","2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"This War of Mine: Days of the Siege","288901","0","0","0","1","0","0","0","0","0","0","0","3","","expansion
S-3-1","","","","139486785","5.9391","8.4758","3.4","0","3595","thing","This War of Mine: Days of the Siege","1","6","120","120","45","2020","1,2,3","1","16+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Three Cheers for Master","175961","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players
20-40 Min 
C-B-1","","","","135496955","5.6521","6.20527","1.76","7490","2161","thing","Three Cheers for Master","2","6","40","40","20","2015","2,3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Three Sisters: Harvest Edition","436127","7.8","1","0","1","0","0","0","0","0","0","0","3","","1-4 Players
30-60 Min 
C-A-1","","","","146488660","5.62461","8.31917","2.6667","0","755","thing","Three Sisters: Harvest Edition","1","4","60","60","30","2026","1,2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Through the Desert: Bazaar","399973","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
45 minutes
C-B-3","","","","139483964","5.59915","7.34037","2.2857","0","1735","thing","Through the Desert: Bazaar","2","5","45","45","45","2024","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Throw Throw Avocado","340420","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135499789","5.62992","6.29004","1","8171","3144","thing","Throw Throw Avocado","2","6","15","15","15","2021","3,4,5,6","5,6","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Throwing Paws","470179","0","0","0","1","0","0","0","0","0","0","0","3","","3-8 players
15 minutes
C-B-4","","","","147995298","0","6.1","0","0","22","thing","Throwing Paws","3","8","15","15","15","2026","","","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tic Tac K.O.: Dragons vs Unicorns","346296","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 Players
30-60Min 
C-B-1","","","","140312598","5.598","6.44916","1.1333","9578","1676","thing","Tic Tac K.O.: Dragons vs Unicorns","2","4","60","60","30","2021","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europa 1912","53383","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146898816","7.00011","7.63348","1.9291","0","21260","thing","Ticket to Ride: Europa 1912","2","5","60","60","30","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","0","0","0","1","0","0","0","0","0","0","0","3","","2-5 players
30-60 min 
S-3-2","","","","146488473","7.39357","7.52289","1.9148","179","139471","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: New York","253284","8","1","0","1","0","0","0","0","0","0","0","3","","2 - 4 Players
10 - 15 Minutes
C-B-2

Good game plays quick perfect intro into the ticket to ride universe","","","","140312923","6.52465","6.87995","1.2721","1276","18241","thing","Ticket to Ride: New York","2","4","15","15","10","2018","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tidal Blades: Banner Festival","364994","0","0","0","1","0","0","0","0","0","0","0","3","","2-5 players
30-45 min 
S-3-3

Second game in the series","","","","147552680","5.87856","6.95277","1.9091","4072","2203","thing","Tidal Blades: Banner Festival","2","5","45","45","30","2022","2,3,4,5","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tidal Blades: Heroes of the Reef","233262","8.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","147550860","6.58224","7.42487","2.9451","1141","7311","thing","Tidal Blades: Heroes of the Reef","1","4","90","90","60","2020","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Druid City Games; Skybound Tabletop","English","2020","English deluxe edition"
"Timber Town","436561","9","1","0","1","0","0","0","0","0","0","0","3","","2 players 
30 - 45 min
C-B-4","","","","139487127","5.83484","7.35576","1.8","4459","1584","thing","Timber Town","2","2","45","45","30","2025","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Time to Panic","445424","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
40 minutes
C-B-1

Card co op","","","","138695992","5.6143","7.13216","1.5","8783","748","thing","Time to Panic","1","4","40","40","40","2025","2,3,4","4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Dinosaurs: Deluxe Edition","315953","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players 
C-B-1","","","","135495965","5.93176","7.36226","2.3846","0","3019","thing","Tiny Epic Dinosaurs: Deluxe Edition","1","4","60","60","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Galaxies BLAST OFF!","317105","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
C-B-1","","","","135495992","5.97868","7.26538","1.8333","3326","3054","thing","Tiny Epic Galaxies BLAST OFF!","2","4","45","45","30","2020","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Pirates: Curse of Amdiak","310095","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion
C-B-1","","","","135495978","5.71975","7.14578","2.875","0","5641","thing","Tiny Epic Pirates: Curse of Amdiak","1","4","60","60","30","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Tiny Epic Pirates: Deluxe Edition","310203","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
C-B-1","","","","135495986","5.86759","7.12182","2.8","0","4013","thing","Tiny Epic Pirates: Deluxe Edition","1","4","60","60","30","2021","2,3,4","3","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Western","180852","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 Playres
30-45 Min 
C-B-1","","","","147999713","6.19503","6.62411","2.8678","2265","12945","thing","Tiny Epic Western","1","4","45","45","30","2016","1,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Zombies: Deluxe Edition","266219","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
C-B-1","","","","135496000","6.04596","7.14951","2.2","0","4883","thing","Tiny Epic Zombies: Deluxe Edition","1","5","30","30","30","2018","1,2,3,4,5","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Titan Race","175495","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players 
30 min
C-B-2","","","","139485211","5.65502","6.06802","1.5238","7402","1985","thing","Titan Race","2","6","30","30","30","2015","3,4,5,6","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Too Many Bones: Undertow","235802","0","0","0","1","0","0","0","0","0","0","0","3","","1-2 Players (1-4 with base game) 
60-90 Minutes
Standalone Expansion","","","","147962559","7.41525","8.65143","4.0282","166","11209","thing","Too Many Bones: Undertow","1","2","180","180","60","2018","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Torchlit","433205","0","0","0","1","0","0","0","0","0","0","0","3","","2-5 Players
40 Minutes
C-B-3","","","","147925003","5.86161","7.29968","2.1667","4212","1554","thing","Torchlit","2","5","45","45","30","2024","3,4,5","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tower Stack","426547","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players","","","","135500414","5.51397","6.0697","1","21604","289","thing","Tower Stack","2","2","0","0","0","2025","1,2","2","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Townsfolk Tussle","312859","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players","","","","135500675","6.44757","7.68094","2.5902","1459","4876","thing","Townsfolk Tussle","1","5","200","200","40","2022","2,3,4,5","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Townsfolk Tussle: Foul Neighbors","379962","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion ","","","","135500629","5.66058","8.70954","3","0","1753","thing","Townsfolk Tussle: Foul Neighbors","2","5","200","200","40","2024","3,4","3,4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Townsfolk Tussle: Odd Jobs","379963","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion ","","","","135500639","5.61634","8.56061","3","0","1694","thing","Townsfolk Tussle: Odd Jobs","2","5","200","200","40","2024","2,3,4","2,3,4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Toy Battle","434654","8.5","1","0","1","0","0","0","0","0","0","0","3","","2 players
15 minutes
C-A-4","","","","139482275","7.1962","7.82861","1.4793","309","12689","thing","Toy Battle","2","2","15","15","15","2025","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trailblazers","352454","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 8 players
30 min
Tile laying","","","","138697468","6.24725","6.98173","1.8","2054","4162","thing","Trailblazers","1","8","30","30","30","2023","1,2,3,4,5,6,7,8","1,2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Transgalactica","429860","0","0","0","1","0","0","0","0","0","0","0","3","","2-5 Players
100 min 
S-3-2","","","","142315687","5.65417","6.34785","3.6667","7425","1227","thing","Transgalactica","2","5","100","100","100","2025","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trash Pandas","216439","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135497327","6.03422","6.49923","1.431","3017","10730","thing","Trash Pandas","2","4","20","20","15","2017","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Trash to Table","451687","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135496801","0","6.35185","1","0","102","thing","Trash to Table","2","6","20","20","20","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Trekking the National Parks: Second Edition","255708","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
30-60 Min
S-1-1","","","","135498777","6.02986","6.95095","1.7895","3045","4473","thing","Trekking the National Parks: Second Edition","2","5","60","60","30","2018","2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Trekking Through History","353288","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 players
30-60. min 
S-3-5","","","","142834953","6.96252","7.49979","1.7653","547","13480","thing","Trekking Through History","1","4","60","60","30","2022","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trial by Trolley","282171","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 13 players
30 - 90 minutes
C-B-5","","","","135496997","5.76769","5.99515","1.0235","5224","12054","thing","Trial by Trolley","3","13","90","90","30","2020","3,4,5,6,7,8,9,10","5,7","16+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Tribes of the Wind","362986","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
40-90 min
S-3-3","","","","135499844","6.55133","7.30596","2.6567","1207","7048","thing","Tribes of the Wind","2","5","90","90","40","2022","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trinket Trove","436931","8","1","0","1","0","0","0","0","0","0","0","3","","Best with 3 or more but still enjoyable at 2 players, it’s a cute set collection game.","","","","143448352","5.99201","7.48828","1.4348","3248","1945","thing","Trinket Trove","2","6","30","30","30","2025","3,4,5,6","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TRND","433075","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142291618","5.57825","6.35082","1","10767","622","thing","TRND","3","5","30","30","30","2024","2,3,4,5","5","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsuro","16992","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147297799","6.5328","6.66823","1.2172","1255","47514","thing","Tsuro","2","8","20","20","15","2025","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Calliope Games","Dutch; English; French; German; Italian; Portuguese; Spanish","2025","Multilingual 20th anniversary edition"
"Tuned","354201","0","0","0","1","0","0","0","0","0","0","0","3","","2 Player
20 minutes
C-A-4","","","","136060933","5.58544","6.3095","1.125","10305","751","thing","Tuned","2","2","20","20","20","2023","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tussie Mussie: Complete Collection","423586","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
20 -30 minutes","","","","139484131","5.60668","7.38971","1.2","0","729","thing","Tussie Mussie: Complete Collection","1","4","30","30","20","2024","1,2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Twinkle Twinkle","408280","8.4","1","0","1","0","0","0","0","0","0","0","3","","1 - 4 player
30 Min 
C-B-3","","","","138198017","5.9656","7.13953","1.8182","3418","2225","thing","Twinkle Twinkle","1","4","30","30","20","2025","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Twinkle Twinkle: Extraterrestrials Mini-expansion","438420","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion
C-B-3","","","","138697092","5.53472","7.67179","2","0","889","thing","Twinkle Twinkle: Extraterrestrials Mini-expansion","1","4","20","20","10","2025","1,2,3,4","2,4","10","","","","","","","expansion","","","","","","","","","","","","","","",""
"Twinkle Twinkle: How I Wonder Expansion","438392","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion
C-B-3","","","","138691468","5.55596","7.76968","2","0","1060","thing","Twinkle Twinkle: How I Wonder Expansion","1","4","30","30","15","2025","1,2,3,4","2,4","10","","","","","","","expansion","","","","","","","","","","","","","","",""
"Twisted Cryptids","429840","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135946209","5.63771","6.66126","1.9375","7919","2189","thing","Twisted Cryptids","2","4","60","60","0","2025","2,3,4","3,4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Twisted Cryptids: Cryptid Culture","429843","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135946220","5.53279","6.89706","0","0","1270","thing","Twisted Cryptids: Cryptid Culture","2","6","60","60","0","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Twisted Cryptids: Ness Is More","429841","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135946236","5.52581","7.00455","0","0","682","thing","Twisted Cryptids: Ness Is More","2","6","60","60","0","2025","3,4","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Twisted Trumpets","388520","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 players
20-40 Min 
S-2-3","","","","140312514","5.55746","7.59765","2.0833","12505","126","thing","Twisted Trumpets","2","4","40","40","20","2025","1,2,3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ultimate Railroads","329591","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 players 
90-120 min
S-5-3","","","","142291546","7.22644","8.35687","3.2555","0","7715","thing","Ultimate Railroads","1","4","120","120","90","2021","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ultimate Treehouse","387197","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135498468","5.51505","6.60012","2","21225","225","thing","Ultimate Treehouse","2","4","60","60","45","2023","2,3,4","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unboxed","386270","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 Players
30 Min
C-C-3","","","","136060955","5.56267","6.4746","2","12028","288","thing","Unboxed","1","4","60","60","30","2023","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unboxed","386270","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136402002","5.56267","6.4746","2","12028","288","thing","Unboxed","1","4","60","60","30","2023","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Under Falling Skies","306735","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
20 - 40 min
C-C-4","","","","139484978","7.2494","7.59125","2.3898","264","30793","thing","Under Falling Skies","1","1","40","40","20","2020","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Epic Adventures","294612","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140199135","6.67476","7.65068","2.12","962","6777","thing","Unlock!: Epic Adventures","1","6","60","60","60","2019","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Escape Adventures","213460","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140199170","6.84282","7.3249","2.1215","703","11903","thing","Unlock!: Escape Adventures","2","6","75","75","45","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Heroic Adventures","266121","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","139210785","6.82435","7.5688","2.2549","732","8966","thing","Unlock!: Heroic Adventures","1","6","60","60","60","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Legendary Adventures","330084","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140199148","6.23244","7.47297","2.2353","2125","3704","thing","Unlock!: Legendary Adventures","1","6","60","60","60","2021","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures","228867","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140199161","6.63705","7.30444","2.102","1039","8613","thing","Unlock!: Mystery Adventures","1","6","75","75","45","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mythic Adventures","302425","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140199124","6.4909","7.63798","2.1739","1362","5317","thing","Unlock!: Mythic Adventures","1","6","60","60","60","2020","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Teen Spirit","326936","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 3 players
20-40 Min
S-1-3","","","","135498544","6.02889","7.7853","2.125","3052","4123","thing","Unmatched: Teen Spirit","2","3","40","40","20","2023","2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO","2223","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 10 players
30 minutes","","","","139484105","5.35283","5.48244","1.0996","30906","74843","thing","UNO","2","10","30","30","30","1971","3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO Flip!","271460","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 10 players
30 minutes","","","","139484098","5.88571","6.27244","1.2317","4015","15316","thing","UNO Flip!","2","10","30","30","30","2019","2,3,4,5,6,7","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO: Pirates of the Caribbean at World's End","34767","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135496845","0","5.63818","0","0","27","thing","UNO: Pirates of the Caribbean at World's End","2","10","30","30","30","2007","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsettled","290484","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
60 - 90 min
C-C-1","","","","139487236","7.02732","8.04937","3.2879","474","10681","thing","Unsettled","2","4","90","90","60","2021","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unstable Unicorns: NSFW Base Game","287952","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 8 players
30 - 45 minutes","","","","139483832","5.69531","6.48031","1.5455","6449","3775","thing","Unstable Unicorns: NSFW Base Game","2","8","45","45","30","2019","3,4,5,6","4,5","16+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vagrantsong","340325","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
45-120 min 
S-3-4","","","","135498709","6.48223","7.41197","3.1944","1375","7452","thing","Vagrantsong","2","4","120","120","45","2022","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vagrantsong: Séance Scenario – Fox Sisters","368746","0","0","0","1","0","0","0","0","0","0","0","1","","Expansion
 S-3-4","","","","135501563","5.52971","7.69749","0","0","806","thing","Vagrantsong: Séance Scenario – Fox Sisters","2","4","120","120","45","2022","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Valeria: Card Kingdoms","170561","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146488701","6.86287","7.42947","1.9636","670","10780","thing","Valeria: Card Kingdoms","1","5","45","45","30","2016","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vampire: The Masquerade – Rivals: The Heart of Europe","358554","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142315633","5.53237","8.04839","0","0","512","thing","Vampire: The Masquerade – Rivals: The Heart of Europe","2","4","70","70","30","2022","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Vast: The Crystal Caverns","170416","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 5 players 
60 - 90 minutes 
Dungeon crawler","","","","138690961","6.65305","7.08512","3.6478","999","13814","thing","Vast: The Crystal Caverns","1","5","150","150","75","2016","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vast: The Crystal Caverns – Bonus Cards","223998","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion","","","","138691005","5.71065","7.60568","3.5","0","2580","thing","Vast: The Crystal Caverns – Bonus Cards","1","7","75","75","75","2017","4","4","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Vast: The Fearsome Foes","234757","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion","","","","138691073","5.79307","7.57273","3.8182","0","3681","thing","Vast: The Fearsome Foes","1","7","90","90","60","2018","3,4,5,6","4,5","8","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Vast: The Mysterious Manor","252399","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135591034","6.26685","7.38081","3.7536","1995","5495","thing","Vast: The Mysterious Manor","1","5","120","120","60","2019","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vegas Strip","428638","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 Players
40 Min
C-B-3
","","","","136061042","5.67382","6.63921","2.1818","6943","1635","thing","Vegas Strip","2","6","40","40","40","2025","3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vegetable Stock","328211","7","1","0","1","0","0","0","0","0","0","0","3","","2 - 6 players

Cute filler card game easy to understand and play for anyone new to the hobby.","","","","135497129","6.06368","6.6971","1.0476","2874","3730","thing","Vegetable Stock","2","6","20","20","15","2019","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Veiled Fate","315695","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 8 players
60 - 90 minutes 
C-A-1

Deduction","","","","138694864","6.42536","7.52256","2.2239","1521","4531","thing","Veiled Fate","2","8","90","90","60","2022","3,4,5,6,7,8","6","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Veiled Fate: Renewal Die","418871","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion
C-A-1","","","","138694633","5.5329","8.10556","0","0","592","thing","Veiled Fate: Renewal Die","2","9","90","90","60","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Veiled Fate: Tribunal","418481","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion","","","","138694643","5.67724","8.57962","3","0","1369","thing","Veiled Fate: Tribunal","2","9","120","120","60","2025","8","8","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Villagers","241724","8.5","1","0","1","0","0","0","0","0","0","0","3","","1 5 players
30 - 60 minutes 
C-B-2
Card drafting tableau building

Fun game nice variation of strategy","","","","138691217","6.69618","7.09967","2.2246","929","15947","thing","Villagers","1","5","60","60","30","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Villagers: Playmat & Promo Cards","312543","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion","","","","138691239","5.5609","7.88525","0","0","695","thing","Villagers: Playmat & Promo Cards","1","5","60","60","30","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Villagers: Shifting Seasons","333503","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion
C-B-2","","","","138691274","5.75045","7.82177","2","0","3213","thing","Villagers: Shifting Seasons","1","5","0","0","0","2022","1,2,3,4","4","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
